,Tamil_Nadu_demand
1417,17666.96
1418,17666.96
1419,17666.96
1420,17984.72
1421,17984.72
1422,17984.72
1423,17984.72
1424,17429.19
1425,17429.19
1426,17429.19
1427,17429.19
1428,17426.88
1429,17426.88
1430,17426.88
1431,17426.88
1432,17788.28
1433,17788.28
1434,17788.28
1435,17788.28
1436,17503.87
1437,17503.87
1438,17503.87
1439,17503.87
1440,16621.54
1441,16621.54
1442,16621.54
1443,16621.54
1444,15848.25
1445,15848.25
1446,15848.25
1447,15848.25
1448,15461.51
1449,15461.51
1450,15461.51
1451,15461.51
1452,15166.22
1453,15166.22
1454,15166.22
1455,15166.22
1456,14954.02
1457,14954.02
1458,14954.02
1459,14954.02
1460,15082.0
1461,15082.0
1462,15082.0
1463,15082.0
1464,15053.89
1465,15053.89
1466,15053.89
1467,15053.89
1468,15991.74
1469,15991.74
1470,15991.74
1471,15991.74
1472,16340.44
1473,16340.44
1474,16340.44
1475,16340.44
1476,16630.58
1477,16630.58
1478,16630.58
1479,16630.58
1480,16939.11
1481,16939.11
1482,16939.11
1483,16939.11
1484,16360.63
1485,16360.63
1486,16360.63
1487,16360.63
1488,15847.69
1489,15847.69
1490,15847.69
1491,15847.69
1492,15746.17
1493,15746.17
1494,15746.17
1495,15746.17
1496,15583.98
1497,15583.98
1498,15583.98
1499,15583.98
1500,16322.37
1501,16322.37
1502,16322.37
1503,16322.37
1504,16994.74
1505,16994.74
1506,16994.74
1507,16994.74
1508,18740.31
1509,18740.31
1510,18740.31
1511,18740.31
1512,16837.35
1513,16837.35
1514,16837.35
1515,16837.35
1516,17389.3
1517,17389.3
1518,17389.3
1519,17389.3
1520,16949.1
1521,16949.1
1522,16949.1
1523,16949.1
1524,16897.37
1525,16897.37
1526,16897.37
1527,16897.37
1528,17459.75
1529,17459.75
1530,17459.75
1531,17459.75
1532,17288.58
1533,17288.58
1534,17288.58
1535,17288.58
1536,16687.99
1537,16687.99
1538,16687.99
1539,16687.99
1540,16111.49
1541,16111.49
1542,16111.49
1543,16111.49
1544,15029.43
1545,15029.43
1546,15029.43
1547,15029.43
1548,14665.02
1549,14665.02
1550,14665.02
1551,14665.02
1552,14691.19
1553,14691.19
1554,14691.19
1555,14691.19
1556,14759.9
1557,14759.9
1558,14759.9
1559,14759.9
1560,15103.14
1561,15103.14
1562,15103.14
1563,15103.14
1564,16185.4
1565,16185.4
1566,16185.4
1567,16185.4
1568,16597.65
1569,16597.65
1570,16597.65
1571,16597.65
1572,17073.86
1573,17073.86
1574,17073.86
1575,17073.86
1576,17319.54
1577,17319.54
1578,17319.54
1579,17319.54
1580,17319.54
1581,17319.54
1582,17319.54
1583,17319.54
1584,17336.92
1585,17336.92
1586,17336.92
1587,17336.92
1588,16944.98
1589,16944.98
1590,16944.98
1591,16944.98
1592,16757.08
1593,16757.08
1594,16757.08
1595,16757.08
1596,17532.28
1597,17532.28
1598,17532.28
1599,17532.28
1600,18136.41
1601,18136.41
1602,18136.41
1603,18136.41
1604,18462.47
1605,18462.47
1606,18462.47
1607,18462.47
1608,17698.01
1609,17698.01
1610,17698.01
1611,17698.01
1612,18023.51
1613,18023.51
1614,18023.51
1615,18023.51
1616,17395.12
1617,17395.12
1618,17395.12
1619,17395.12
1620,17460.56
1621,17460.56
1622,17460.56
1623,17460.56
1624,17791.36
1625,17791.36
1626,17791.36
1627,17791.36
1628,17606.21
1629,17606.21
1630,17606.21
1631,17606.21
1632,16551.36
1633,16551.36
1634,16551.36
1635,16551.36
1636,16080.58
1637,16080.58
1638,16080.58
1639,16080.58
1640,15573.19
1641,15573.19
1642,15573.19
1643,15573.19
1644,15318.82
1645,15318.82
1646,15318.82
1647,15318.82
1648,15072.34
1649,15072.34
1650,15072.34
1651,15072.34
1652,15125.37
1653,15125.37
1654,15125.37
1655,15125.37
1656,15324.64
1657,15324.64
1658,15324.64
1659,15324.64
1660,16039.26
1661,16039.26
1662,16039.26
1663,16039.26
1664,16266.39
1665,16266.39
1666,16266.39
1667,16266.39
1668,17317.5
1669,17317.5
1670,17317.5
1671,17317.5
1672,17897.88
1673,17897.88
1674,17897.88
1675,17897.88
1676,18107.3
1677,18107.3
1678,18107.3
1679,18107.3
1680,18027.99
1681,18027.99
1682,18027.99
1683,18027.99
1684,17632.89
1685,17632.89
1686,17632.89
1687,17632.89
1688,17591.66
1689,17591.66
1690,17591.66
1691,17591.66
1692,18074.1
1693,18074.1
1694,18074.1
1695,18074.1
1696,18537.1
1697,18537.1
1698,18537.1
1699,18537.1
1700,17953.61
1701,17953.61
1702,17953.61
1703,17953.61
1704,17576.42
1705,17576.42
1706,17576.42
1707,17576.42
1708,17882.64
1709,17882.64
1710,17882.64
1711,17882.64
1712,17291.47
1713,17291.47
1714,17291.47
1715,17291.47
1716,17425.01
1717,17425.01
1718,17425.01
1719,17425.01
1720,17744.58
1721,17744.58
1722,17744.58
1723,17744.58
1724,17421.78
1725,17421.78
1726,17421.78
1727,17421.78
1728,16651.07
1729,16651.07
1730,16651.07
1731,16651.07
1732,16039.0
1733,16039.0
1734,16039.0
1735,16039.0
1736,15680.01
1737,15680.01
1738,15680.01
1739,15680.01
1740,15323.0
1741,15323.0
1742,15323.0
1743,15323.0
1744,15060.23
1745,15060.23
1746,15060.23
1747,15060.23
1748,15265.37
1749,15265.37
1750,15265.37
1751,15265.37
1752,15472.27
1753,15472.27
1754,15472.27
1755,15472.27
1756,16287.93
1757,16287.93
1758,16287.93
1759,16287.93
1760,16301.07
1761,16301.07
1762,16301.07
1763,16301.07
1764,17061.92
1765,17061.92
1766,17061.92
1767,17061.92
1768,17458.63
1769,17458.63
1770,17458.63
1771,17458.63
1772,17646.7
1773,17646.7
1774,17646.7
1775,17646.7
1776,17521.56
1777,17521.56
1778,17521.56
1779,17521.56
1780,17347.9
1781,17347.9
1782,17347.9
1783,17347.9
1784,17381.13
1785,17381.13
1786,17381.13
1787,17381.13
1788,17939.8
1789,17939.8
1790,17939.8
1791,17939.8
1792,18385.89
1793,18385.89
1794,18385.89
1795,18385.89
1796,17799.82
1797,17799.82
1798,17799.82
1799,17799.82
1800,17845.36
1801,17845.36
1802,17845.36
1803,17845.36
1804,18047.35
1805,18047.35
1806,18047.35
1807,18047.35
1808,17799.91
1809,17799.91
1810,17799.91
1811,17799.91
1812,17726.91
1813,17726.91
1814,17726.91
1815,17726.91
1816,18056.99
1817,18056.99
1818,18056.99
1819,18056.99
1820,17802.54
1821,17802.54
1822,17802.54
1823,17802.54
1824,16926.04
1825,16926.04
1826,16926.04
1827,16926.04
1828,16382.53
1829,16382.53
1830,16382.53
1831,16382.53
1832,16028.86
1833,16028.86
1834,16028.86
1835,16028.86
1836,15822.06
1837,15822.06
1838,15822.06
1839,15822.06
1840,15663.28
1841,15663.28
1842,15663.28
1843,15663.28
1844,15586.84
1845,15586.84
1846,15586.84
1847,15586.84
1848,15386.98
1849,15386.98
1850,15386.98
1851,15386.98
1852,15483.71
1853,15483.71
1854,15483.71
1855,15483.71
1856,15284.87
1857,15284.87
1858,15284.87
1859,15284.87
1860,15330.22
1861,15330.22
